parroquia,canton,provincia,prob_riesgo,nivel_riesgo
Ayacucho,Guayaquil,Guayas,0.33,Medio
Bolívar,Guayaquil,Guayas,0.34,Medio
Chongón,Guayaquil,Guayas,0.4,Medio
El Morro,Guayaquil,Guayas,0.33,Medio
Febres Cordero,Guayaquil,Guayas,0.37,Medio
García Moreno,Guayaquil,Guayas,0.33,Medio
Letamendi,Guayaquil,Guayas,0.34,Medio
Nueve de Octubre,Guayaquil,Guayas,0.34,Medio
Olmedo,Guayaquil,Guayas,0.34,Medio
Pedro Carbo,Guayaquil,Guayas,0.34,Medio
Posorja,Guayaquil,Guayas,0.22,Bajo
Puná,Guayaquil,Guayas,0.33,Medio
Roca,Guayaquil,Guayas,0.35,Medio
Rocafuerte,Guayaquil,Guayas,0.37,Medio
Sucre,Guayaquil,Guayas,0.33,Medio
Tarqui,Guayaquil,Guayas,0.4,Medio
Tenguel,Guayaquil,Guayas,0.26,Bajo
Urdaneta,Guayaquil,Guayas,0.33,Medio
Ximena,Guayaquil,Guayas,0.4,Medio
